ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-05-18,42.5020560185992,29.44984571739558,58.06257213908195,42.5020560185992,42.5020560185992,1.1652019641590858,1.1652019641590858,1.1652019641590858,1.1652019641590858,1.1652019641590858,1.1652019641590858,0.0,0.0,0.0,43.66725798275829
2018-05-19,42.4323776144374,18.00765722267527,46.17669984480625,42.4323776144374,42.4323776144374,-10.968499886363103,-10.968499886363103,-10.968499886363103,-10.968499886363103,-10.968499886363103,-10.968499886363103,0.0,0.0,0.0,31.463877728074294
2018-05-20,42.36269921027559,4.906978440987569,33.25150835109519,42.36269921027559,42.36269921027559,-23.341087339875465,-23.341087339875465,-23.341087339875465,-23.341087339875465,-23.341087339875465,-23.341087339875465,0.0,0.0,0.0,19.02161187040013
2018-05-21,42.293020806113795,44.51788737428326,70.3033684651095,42.293020806113795,42.293020806113795,15.266866267695914,15.266866267695914,15.266866267695914,15.266866267695914,15.266866267695914,15.266866267695914,0.0,0.0,0.0,57.559887073809705
2018-05-22,42.22334240195199,37.4337217379743,65.18616315338974,42.22334240195199,42.22334240195199,8.631804642504017,8.631804642504017,8.631804642504017,8.631804642504017,8.631804642504017,8.631804642504017,0.0,0.0,0.0,50.855147044456004
2018-05-23,42.15366399779019,36.202033158350496,63.26641339681638,42.15366399779019,42.15366399779019,7.077521191918661,7.077521191918661,7.077521191918661,7.077521191918661,7.077521191918661,7.077521191918661,0.0,0.0,0.0,49.23118518970885
2018-05-24,42.0839856345999,30.148307926131015,58.12719914530622,42.0839856345999,42.0839856345999,2.1681931600401976,2.1681931600401976,2.1681931600401976,2.1681931600401976,2.1681931600401976,2.1681931600401976,0.0,0.0,0.0,44.252178794640095
2018-05-25,42.01430727140959,30.207821616505825,57.89060598547226,42.01430727140959,42.01430727140959,1.1652019641386655,1.1652019641386655,1.1652019641386655,1.1652019641386655,1.1652019641386655,1.1652019641386655,0.0,0.0,0.0,43.17950923554826
2018-05-26,41.9446289082193,16.130071097279234,45.439766143270546,41.9446289082193,41.9446289082193,-10.9684998863264,-10.9684998863264,-10.9684998863264,-10.9684998863264,-10.9684998863264,-10.9684998863264,0.0,0.0,0.0,30.976129021892902
2018-05-27,41.87495054502901,5.571866356702756,32.96528400552282,41.87495054502901,41.87495054502901,-23.341087339867727,-23.341087339867727,-23.341087339867727,-23.341087339867727,-23.341087339867727,-23.341087339867727,0.0,0.0,0.0,18.533863205161282
2018-05-28,41.80527218183872,43.119514550948125,70.64807532000603,41.80527218183872,41.80527218183872,15.266866267620582,15.266866267620582,15.266866267620582,15.266866267620582,15.266866267620582,15.266866267620582,0.0,0.0,0.0,57.0721384494593
2018-05-29,41.73559381864841,36.102882455254566,64.56726165701964,41.73559381864841,41.73559381864841,8.631804642503244,8.631804642503244,8.631804642503244,8.631804642503244,8.631804642503244,8.631804642503244,0.0,0.0,0.0,50.36739846115165
2018-05-30,41.66591545545812,36.0659365742461,62.78730422640701,41.66591545545812,41.66591545545812,7.077521191944971,7.077521191944971,7.077521191944971,7.077521191944971,7.077521191944971,7.077521191944971,0.0,0.0,0.0,48.74343664740309
2018-05-31,41.59623709624861,29.683209241107523,57.52095472433657,41.59623709624861,41.59623709624861,2.168193160005035,2.168193160005035,2.168193160005035,2.168193160005035,2.168193160005035,2.168193160005035,0.0,0.0,0.0,43.76443025625364
2018-06-01,41.5265587370391,28.412318667713237,56.61024872699226,41.5265587370391,41.5265587370391,1.1652019641182434,1.1652019641182434,1.1652019641182434,1.1652019641182434,1.1652019641182434,1.1652019641182434,0.0,0.0,0.0,42.69176070115735
2018-06-02,41.45688037782959,16.611795008673518,44.70877215679402,41.45688037782959,41.45688037782959,-10.96849988633521,-10.96849988633521,-10.96849988633521,-10.96849988633521,-10.96849988633521,-10.96849988633521,0.0,0.0,0.0,30.488380491494382
2018-06-03,41.387202018620094,4.392901733838776,31.591598983669726,41.387202018620094,41.387202018620094,-23.34108733987329,-23.34108733987329,-23.34108733987329,-23.34108733987329,-23.34108733987329,-23.34108733987329,0.0,0.0,0.0,18.046114678746804
2018-06-04,41.317523659410575,43.20472268547427,70.55924940342524,41.317523659410575,41.317523659410575,15.266866267636868,15.266866267636868,15.266866267636868,15.266866267636868,15.266866267636868,15.266866267636868,0.0,0.0,0.0,56.58438992704744
2018-06-05,41.24784530020108,36.317667114287524,63.21856474604232,41.24784530020108,41.24784530020108,8.631804642502473,8.631804642502473,8.631804642502473,8.631804642502473,8.631804642502473,8.631804642502473,0.0,0.0,0.0,49.87964994270355
2018-06-06,41.17816694084834,35.52205256270514,61.906408211399985,41.17816694084834,41.17816694084834,7.077521191886952,7.077521191886952,7.077521191886952,7.077521191886952,7.077521191886952,7.077521191886952,0.0,0.0,0.0,48.255688132735294
2018-06-07,41.108488581495614,29.97778955450156,56.85616718152023,41.108488581495614,41.108488581495614,2.168193160046954,2.168193160046954,2.168193160046954,2.168193160046954,2.168193160046954,2.168193160046954,0.0,0.0,0.0,43.27668174154257
2018-06-08,41.038810222142885,28.031700217498994,55.64012009721361,41.038810222142885,41.038810222142885,1.1652019641731013,1.1652019641731013,1.1652019641731013,1.1652019641731013,1.1652019641731013,1.1652019641731013,0.0,0.0,0.0,42.204012186315985
2018-06-09,40.96913186279015,15.322119902057088,42.76756066908645,40.96913186279015,40.96913186279015,-10.968499886338748,-10.968499886338748,-10.968499886338748,-10.968499886338748,-10.968499886338748,-10.968499886338748,0.0,0.0,0.0,30.000631976451402
2018-06-10,40.899453503437414,3.521914487990253,31.583983531407135,40.899453503437414,40.899453503437414,-23.341087339844066,-23.341087339844066,-23.341087339844066,-23.341087339844066,-23.341087339844066,-23.341087339844066,0.0,0.0,0.0,17.558366163593348
2018-06-11,40.829775144084685,42.448890054433946,69.56990060113131,40.829775144084685,40.829775144084685,15.266866267654692,15.266866267654692,15.266866267654692,15.266866267654692,15.266866267654692,15.266866267654692,0.0,0.0,0.0,56.09664141173938
2018-06-12,40.76009678473195,35.50463712440514,62.96777655740066,40.76009678473195,40.76009678473195,8.631804642501702,8.631804642501702,8.631804642501702,8.631804642501702,8.631804642501702,8.631804642501702,0.0,0.0,0.0,49.39190142723365
2018-06-13,40.6904184265811,34.83780643607855,62.249501313606,40.6904184265811,40.6904184265811,7.077521191930492,7.077521191930492,7.077521191930492,7.077521191930492,7.077521191930492,7.077521191930492,0.0,0.0,0.0,47.76793961851159
2018-06-14,40.620740068430244,29.554112955337498,56.67309579607028,40.620740068430244,40.620740068430244,2.168193160011792,2.168193160011792,2.168193160011792,2.168193160011792,2.168193160011792,2.168193160011792,0.0,0.0,0.0,42.78893322844203
2018-06-15,40.55106171027939,28.267886600434743,56.868607669121744,40.55106171027939,40.55106171027939,1.1652019641526798,1.1652019641526798,1.1652019641526798,1.1652019641526798,1.1652019641526798,1.1652019641526798,0.0,0.0,0.0,41.71626367443207
2018-06-16,40.48138335212853,16.345271911755585,43.837370398853544,40.48138335212853,40.48138335212853,-10.968499886342288,-10.968499886342288,-10.968499886342288,-10.968499886342288,-10.968499886342288,-10.968499886342288,0.0,0.0,0.0,29.512883465786246
2018-06-17,40.41170499397768,2.6730146925762535,30.349294026050032,40.41170499397768,40.41170499397768,-23.341087339857804,-23.341087339857804,-23.341087339857804,-23.341087339857804,-23.341087339857804,-23.341087339857804,0.0,0.0,0.0,17.070617654119875
2018-06-18,40.34202663582683,40.77115786666643,69.27237088017021,40.34202663582683,40.34202663582683,15.266866267623628,15.266866267623628,15.266866267623628,15.266866267623628,15.266866267623628,15.266866267623628,0.0,0.0,0.0,55.60889290345045
2018-06-19,40.27234827686915,34.51058263833907,62.96649684442336,40.27234827686915,40.27234827686915,8.631804642494005,8.631804642494005,8.631804642494005,8.631804642494005,8.631804642494005,8.631804642494005,0.0,0.0,0.0,48.904152919363156
2018-06-20,40.202669917911486,33.82161896048241,60.64878997383297,40.202669917911486,40.202669917911486,7.077521191914636,7.077521191914636,7.077521191914636,7.077521191914636,7.077521191914636,7.077521191914636,0.0,0.0,0.0,47.28019110982612
2018-06-21,40.13299155895382,28.755217386113237,55.494825220277356,40.13299155895382,40.13299155895382,2.1681931600283537,2.1681931600283537,2.1681931600283537,2.1681931600283537,2.1681931600283537,2.1681931600283537,0.0,0.0,0.0,42.30118471898217
2018-06-22,40.06331319999615,28.11535742265589,54.73074342020784,40.06331319999615,40.06331319999615,1.1652019641832971,1.1652019641832971,1.1652019641832971,1.1652019641832971,1.1652019641832971,1.1652019641832971,0.0,0.0,0.0,41.22851516417945
2018-06-23,39.99363484103848,13.919673695271253,42.647078285220886,39.99363484103848,39.99363484103848,-10.968499886345827,-10.968499886345827,-10.968499886345827,-10.968499886345827,-10.968499886345827,-10.968499886345827,0.0,0.0,0.0,29.025134954692653
2018-06-24,39.923956482080804,2.159686266486185,30.128828472373417,39.923956482080804,39.923956482080804,-23.341087339941097,-23.341087339941097,-23.341087339941097,-23.341087339941097,-23.341087339941097,-23.341087339941097,0.0,0.0,0.0,16.582869142139707
2018-06-25,39.85427812642324,41.35748851152689,68.90327469853489,39.85427812642324,39.85427812642324,15.266866267641452,15.266866267641452,15.266866267641452,15.266866267641452,15.266866267641452,15.266866267641452,0.0,0.0,0.0,55.12114439406469
